state,count,proportion,e_directional_pressure_mean,e_directional_pressure_median,e_pressure_strength_mean,e_pressure_strength_median,e_baseline_mean,e_baseline_median,e_cascade_mean,e_cascade_median,e_absorption_mean,e_absorption_median,e_rejection_mean,e_rejection_median,e_rha_strict_mean,e_rha_strict_median,e_active_mean,e_active_median,e_quiet_mean,e_quiet_median,e_realized_vol_mean,e_realized_vol_median,e_volatility_mean,e_volatility_median,e_jump_mean,e_jump_median,e_trend_strength_mean,e_trend_strength_median,e_range_compression_mean,e_range_compression_median,e_low_vol_mean,e_low_vol_median,e_low_trend_mean,e_low_trend_median,e_conflict_mean,e_conflict_median,e_quality_bad_mean,e_quality_bad_median,e_cross_window_conflict_mean,e_cross_window_conflict_median,plie_reliability_mean,plie_reliability_median,plie_intensity_mean,plie_intensity_median,hmm_conf_mean,hmm_conf_median,liq_entropy_mean,liq_entropy_median,realized_vol_6h_bps_mean,realized_vol_6h_bps_median,range_compression_6h_mean,range_compression_6h_median,trend_strength_6h_mean,trend_strength_6h_median,trend_consistency_6h_mean,trend_consistency_6h_median,jump_proxy_6h_mean,jump_proxy_6h_median,path_absorption_score_6h_mean,path_absorption_score_6h_median,path_absorption_score_12h_mean,path_absorption_score_12h_median,path_absorption_score_24h_mean,path_absorption_score_24h_median,path_absorption_score_48h_mean,path_absorption_score_48h_median,path_pressure_rejection_score_6h_mean,path_pressure_rejection_score_6h_median,path_pressure_rejection_score_12h_mean,path_pressure_rejection_score_12h_median,path_pressure_rejection_score_24h_mean,path_pressure_rejection_score_24h_median,path_pressure_rejection_score_48h_mean,path_pressure_rejection_score_48h_median,path_active_dominance_score_6h_mean,path_active_dominance_score_6h_median,path_active_dominance_score_12h_mean,path_active_dominance_score_12h_median,path_active_dominance_score_24h_mean,path_active_dominance_score_24h_median,path_active_dominance_score_48h_mean,path_active_dominance_score_48h_median,path_cascade_score_6h_mean,path_cascade_score_6h_median,path_cascade_score_12h_mean,path_cascade_score_12h_median,path_cascade_score_24h_mean,path_cascade_score_24h_median,path_cascade_score_48h_mean,path_cascade_score_48h_median,path_data_quality_6h_mean,path_data_quality_6h_median,path_data_quality_12h_mean,path_data_quality_12h_median,path_data_quality_24h_mean,path_data_quality_24h_median,path_data_quality_48h_mean,path_data_quality_48h_median,path_signal_clarity_6h_mean,path_signal_clarity_6h_median,path_signal_clarity_12h_mean,path_signal_clarity_12h_median,path_signal_clarity_24h_mean,path_signal_clarity_24h_median,path_signal_clarity_48h_mean,path_signal_clarity_48h_median
AMB,204,0.00511727078891258,0.254143668060348,0.2786888458198127,0.1951401287566043,0.19929988833424017,0.16427450980392158,0.11900000000000001,0.19366277554434075,0.14564189449501858,0.44546833555355037,0.4407054079423194,0.19942418151503238,0.18518653663390025,0.0818747944560435,0.06249876314119682,0.19147402533781832,0.16306832738468768,0.09712418867593502,0.0,0.30191601340597607,0.23385274403866757,0.3628748575654357,0.3295130129120284,0.4623315340560883,0.4576759947925,0.3739822897094656,0.3768122706425,0.4703580054405147,0.47783341051499995,0.6980839865940239,0.7661472559613325,0.6260177102905343,0.6231877293575001,0.39913348507787344,0.4121866284860085,0.06272665417393938,0.03992256754555806,0.6862745098039216,1.0,0.18450921898073921,0.13418959238715938,0.27720954967126094,0.10554711207163489,0.9026473048728698,0.9989135029781679,0.11948818875336062,0.0081754000215264,92.84969445985294,80.56344619999999,0.5056215354893138,0.52089604075,0.35157097276818633,0.3400772144,0.5226414789220589,0.5103488664,0.44129950286862746,0.4257971951,49.84256631625497,50.0,51.275214872776296,50.0,46.703880284173195,50.0,52.5212881278572,50.0,0.11419506667585004,0.0,0.18124522364200968,0.0,0.10166234095164975,0.0,0.14525576600741422,0.0,0.10198290758246945,0.0,0.08040065172252263,0.0,0.08816149223059644,0.0,0.10815441817295096,0.0213458802730342,0.10606184769245583,0.0,0.14149721523447087,0.0,0.15230970167526423,0.0,0.07693945761104963,0.0,0.9759803921568628,1.0,0.9759803921568628,1.0,0.9117647058823533,0.9,0.9117647058823533,0.9,0.48319560713982723,0.5283855085073397,0.5511657040349691,0.5826008512367863,0.4704033948648195,0.5253188616997951,0.43654900432607435,0.45840312782500003
HPEM,9714,0.24367239433086668,0.7204876300638107,0.8079073454886627,0.6351752085002307,0.6550291254381524,0.23097436689314396,0.19600000000000004,0.4371266516028177,0.42564574471127803,0.3410132581238917,0.34437692168382733,0.10652006234640546,0.08571428571428572,0.1335434706208356,0.10521485131144963,0.19154781771853632,0.1619810712864544,0.009300840243593334,0.0,0.43532063867694715,0.3888557881755843,0.4486289387322765,0.42316574207576674,0.5020900630829742,0.48841559342749996,0.4277693193312167,0.42226266655,0.37464913163849034,0.35826580227950006,0.5646793613230529,0.6111442118244157,0.5722306806687832,0.57773733345,0.17279028496901142,0.15651353177002014,0.03102841108844013,0.02500000000000549,0.39314391599752935,0.0,0.6164021481154611,0.7139516374530572,1.159829157461379,0.8442582397351854,0.9639793142626695,0.9999970240153668,0.04548941159514609,4.0845143043603214e-05,135.60448799418057,114.9692647,0.39643600920075345,0.3525121556,0.3992952131219841,0.3993580298,0.545290650756187,0.53297602405,0.5089073877620549,0.47062561864999997,37.062301501730694,37.466123326329054,28.52423302796404,26.247616009307254,25.268046678855942,23.3245360854552,29.656665519205873,26.958715980358825,0.110343836260359,0.0,0.03673701523545258,0.0,0.015881826846121317,0.0,0.026842468153660263,0.0,0.23706751116090538,0.0505021890051208,0.25622261507529587,0.119670053254814,0.2931411347623042,0.2012273154082722,0.2927731633600557,0.20433108779583045,0.33625413315890595,0.3036738510333412,0.4350011073065795,0.4987260133087124,0.48639202761537065,0.5395182236171994,0.42169094986142,0.491568517308005,0.9579472925674285,1.0,0.9579472925674285,1.0,0.917006382540663,0.9,0.917006382540663,0.9,0.6219620091377843,0.6340207337641544,0.6325230196695611,0.6492712031398153,0.6276810130043434,0.6457999079984249,0.5793357143523268,0.6236536617097848
RC,8035,0.20155524896525776,0.0991360032029907,0.0,0.16638544845335712,0.23228935820885294,0.05250118232731799,0.021000000000000005,0.10104965478220318,0.08126560945411375,0.42249292505767183,0.4169605426515676,0.09040962819245653,0.06857142857142856,0.028617081737254378,0.0,0.18469424810926072,0.15524986563822718,0.5669894511382549,0.5807925743168677,0.19553240193377475,0.1700335974278263,0.29391086087214424,0.28199351621666996,0.3848963191258831,0.37360486403,0.3756998500687228,0.37311564018500004,0.7050813348004024,0.7310141236550001,0.8044675980662254,0.8299664025721737,0.6243001499312772,0.626884359815,0.14663749255441555,0.1236851706097591,0.050778016583974926,0.032401259453458786,0.19079029247044182,0.0,0.22623293322994234,0.3252625591252213,0.08845605726308728,0.0436283126156541,0.9316331659200394,0.9989244225547932,0.08595418254305422,0.0085176776078519,73.415496402061,67.11577725,0.6954111101970137,0.7443852744,0.36627351136364467,0.3696092713,0.5281270690734163,0.5179343136,0.38668666959331677,0.3715189266,50.755793990150536,50.0,50.11314944025062,50.0,50.93311767993517,50.0,51.12176012571184,50.0,0.05622287605152464,0.0,0.02061244727117751,0.0,0.03370651629511979,0.0,0.061081314678170615,0.0,0.043979906025636034,0.0,0.023204958173692135,0.0,0.02044647449444144,0.0,0.037429332616158974,0.0,0.033686386490311124,0.0,0.016367105117521014,0.0,0.011865992739355444,0.0,0.03585455103847912,0.0,0.989707529558183,1.0,0.9889607965152458,1.0,0.9622899813316741,1.0,0.9593030491599255,1.0,0.3936232961424986,0.3249999999999999,0.3492921714228898,0.3249999999999999,0.3805454324628281,0.335,0.4185800480848402,0.46
RHA,10190,0.2556126928383294,0.580046542802346,0.5836723910183438,0.42315986235913017,0.4529562129480969,0.19353945044160945,0.14,0.14602766176972534,0.11726536745965574,0.5386391287426908,0.5424850588723307,0.3263616822676134,0.31434497158947505,0.2734178554489343,0.28697372527872206,0.15671284168438432,0.13139979211692665,0.030601179001735593,0.0,0.34545153973722725,0.30476901671850065,0.3864069722866464,0.3625576767305879,0.4533856249237381,0.44073796184,0.4066706713637044,0.40390560115499996,0.48810223659702895,0.4873668673335,0.6545484602627726,0.6952309832814993,0.5933293286362957,0.596094398845,0.18712714451820348,0.17077186565479194,0.04161412791319037,0.025366769903617872,0.32590775269872424,0.0,0.4561673201892597,0.366202473672978,0.4941651077046755,0.2636088051989601,0.9181131645003298,0.9993632523022504,0.08885759291911537,0.0053508898905338005,108.98285853434886,94.10166724,0.4911569619232791,0.48651308174999996,0.40497394556394933,0.41027851115,0.5466720019981355,0.5354809546,0.45594929574352305,0.4307431852,61.71223478927777,59.68808681283875,66.06788827590144,65.86571834061681,60.65032842645421,60.02144108835166,50.246674109777004,50.0,0.3528428942533054,0.22477318200658641,0.391775350875085,0.373581926712409,0.3200042365770863,0.23191614259942145,0.16502744642259712,0.0,0.17524953989232267,0.0,0.15399645650365895,0.0,0.11465935262952846,0.0,0.08865903316046322,0.0,0.08353905815624275,0.0,0.04089294738921977,0.0,0.06832479175658869,0.0,0.13927702090107866,0.0,0.9736997055937193,1.0,0.9736997055937193,1.0,0.932649656526006,0.9,0.932649656526006,0.9,0.6039535821748172,0.6124941413882926,0.6136790799703474,0.6178786646920501,0.5959004599962797,0.5840962639250132,0.550895540834411,0.5578731719412102
ST,4691,0.11767214348425938,0.5716243761409054,0.578335023935386,0.3897495785046377,0.4491453371640107,0.27676295033042,0.256,0.20542194626361926,0.1660377999091825,0.44123029817159715,0.44472362596322335,0.15536037858285082,0.13287791181908135,0.15228998265615387,0.12895624732163902,0.11813640349218636,0.10353607741069067,0.0726567269043247,0.0,0.2637618235885089,0.2416485885327729,0.32932713886009235,0.31765492897590225,0.41230856881967703,0.39990090155,0.37839218994871765,0.3758405563575,0.6190344834262379,0.633769391075,0.736238176411491,0.7583514114672271,0.6216078100512823,0.6241594436425,0.16019856299989613,0.14334867938588797,0.03078591875176425,0.025287863000831662,0.32530377318269027,0.0,0.5034724160748486,0.3806961103480301,0.25302361510296817,0.1681425350658665,0.9563353649568286,0.9996863072357668,0.0598416993482578,0.0028925872641816,85.95293281398422,78.69210502,0.6096553533003699,0.6221347534,0.3695941849758817,0.3701145619,0.5295222377712855,0.5172476215,0.4091544046661266,0.3982782638,47.9023629821173,50.0,46.47341667794736,47.75876018145427,45.253710170540614,46.40616513843199,43.344233041327456,46.33128615759847,0.12822035814692376,0.0,0.08725882459957407,0.0,0.06478104356996298,0.0,0.03444520557845742,0.0,0.0673619576844503,0.0,0.028141422611610775,0.0,0.037213211722979644,0.0,0.07279139987029766,0.0,0.1518222257638098,0.0,0.1516259138516319,0.0561153774198348,0.16529278793248484,0.0874112634006969,0.17319564236541468,0.0905588220955249,0.9882541036026433,1.0,0.9882541036026433,1.0,0.9502025154551268,1.0,0.9502025154551268,1.0,0.5479611025222273,0.5706508922703336,0.5512986804479274,0.5599908372348071,0.5362236384683885,0.5487211325536316,0.5007883566048018,0.5377903605365045
VT,7031,0.17637024959237427,0.20169607787716196,0.1523305998171454,0.22099357755613308,0.2495737994372707,0.08351984070544731,0.04900000000000001,0.18556919261615207,0.1247183570905,0.4196888416966749,0.403535404581525,0.13631929286161795,0.10285714285714284,0.05843169318860945,0.023824002493736642,0.3494671140142684,0.32615716803351075,0.1783133928508239,0.11711711544935342,0.4482895029211856,0.4144968925614055,0.46128983474925167,0.4440127373477901,0.4951337627490501,0.483370072575,0.44208216141965617,0.4391579318,0.37228208082185477,0.35677240099900004,0.5517104970788144,0.5855031074385946,0.5579178385803438,0.5608420681999999,0.20957186263944613,0.19666462726626407,0.06989466581352612,0.05503086585576486,0.4807282036694638,0.0,0.2416778738065078,0.3283493777085625,0.28226149979278653,0.1232775497878375,0.8902079958271072,0.9984707017822092,0.10292007193457335,0.0109682270437889,139.586258435096,125.4155572,0.35689549891032035,0.3021532762,0.4392184875299305,0.4533689357,0.5646099625295975,0.5583652085,0.5093224982097284,0.4737320294,48.68015187052235,50.0,48.29429868815249,50.0,50.92614681775859,50.0,52.136528197353634,50.0,0.12598512090796968,0.0,0.09535486094090595,0.0,0.10285927855894339,0.0,0.11933416049563449,0.0,0.27760362712909564,0.1567590727949253,0.26742763578400164,0.1713871087290207,0.22248582739400796,0.1095863949862438,0.16919942038824323,0.0092884514230643,0.13253342998293952,0.0,0.11514244018160273,0.0,0.06981812033025392,0.0,0.0614626858072659,0.0,0.9576162708007397,1.0,0.9576162708007397,1.0,0.9199829327264971,0.9,0.9199829327264971,0.9,0.4693430216382309,0.475,0.4215953628729838,0.3512515670410701,0.37401257216518335,0.31,0.38512816339661154,0.335
