state,count,proportion,e_directional_pressure_mean,e_directional_pressure_median,e_pressure_strength_mean,e_pressure_strength_median,e_baseline_mean,e_baseline_median,e_cascade_mean,e_cascade_median,e_absorption_mean,e_absorption_median,e_rejection_mean,e_rejection_median,e_rha_strict_mean,e_rha_strict_median,e_active_mean,e_active_median,e_quiet_mean,e_quiet_median,e_realized_vol_mean,e_realized_vol_median,e_volatility_mean,e_volatility_median,e_jump_mean,e_jump_median,e_trend_strength_mean,e_trend_strength_median,e_range_compression_mean,e_range_compression_median,e_low_vol_mean,e_low_vol_median,e_low_trend_mean,e_low_trend_median,e_conflict_mean,e_conflict_median,e_quality_bad_mean,e_quality_bad_median,e_cross_window_conflict_mean,e_cross_window_conflict_median,plie_reliability_mean,plie_reliability_median,plie_intensity_mean,plie_intensity_median,hmm_conf_mean,hmm_conf_median,liq_entropy_mean,liq_entropy_median,realized_vol_6h_bps_mean,realized_vol_6h_bps_median,range_compression_6h_mean,range_compression_6h_median,trend_strength_6h_mean,trend_strength_6h_median,trend_consistency_6h_mean,trend_consistency_6h_median,jump_proxy_6h_mean,jump_proxy_6h_median,path_absorption_score_6h_mean,path_absorption_score_6h_median,path_absorption_score_12h_mean,path_absorption_score_12h_median,path_absorption_score_24h_mean,path_absorption_score_24h_median,path_absorption_score_48h_mean,path_absorption_score_48h_median,path_pressure_rejection_score_6h_mean,path_pressure_rejection_score_6h_median,path_pressure_rejection_score_12h_mean,path_pressure_rejection_score_12h_median,path_pressure_rejection_score_24h_mean,path_pressure_rejection_score_24h_median,path_pressure_rejection_score_48h_mean,path_pressure_rejection_score_48h_median,path_active_dominance_score_6h_mean,path_active_dominance_score_6h_median,path_active_dominance_score_12h_mean,path_active_dominance_score_12h_median,path_active_dominance_score_24h_mean,path_active_dominance_score_24h_median,path_active_dominance_score_48h_mean,path_active_dominance_score_48h_median,path_cascade_score_6h_mean,path_cascade_score_6h_median,path_cascade_score_12h_mean,path_cascade_score_12h_median,path_cascade_score_24h_mean,path_cascade_score_24h_median,path_cascade_score_48h_mean,path_cascade_score_48h_median,path_data_quality_6h_mean,path_data_quality_6h_median,path_data_quality_12h_mean,path_data_quality_12h_median,path_data_quality_24h_mean,path_data_quality_24h_median,path_data_quality_48h_mean,path_data_quality_48h_median,path_signal_clarity_6h_mean,path_signal_clarity_6h_median,path_signal_clarity_12h_mean,path_signal_clarity_12h_median,path_signal_clarity_24h_mean,path_signal_clarity_24h_median,path_signal_clarity_48h_mean,path_signal_clarity_48h_median
AMB,297,0.0073318850597412855,0.189735850254718,0.11147674412766942,0.2648356046262924,0.2853790212541951,0.12013804713804713,0.09100000000000003,0.159157207091309,0.11682607563906168,0.4660749560829211,0.4540997068434638,0.15948702615965374,0.12304032814927772,0.05906461447765008,0.017962355212607896,0.185209072874043,0.15793410941452413,0.08202073169316729,0.0,0.25768100375378467,0.20119401529053818,0.335693216711553,0.3120198909555835,0.4511422561486889,0.442230068255,0.3680589239134229,0.371218412245,0.5535643149110102,0.55989812454,0.7423189962462153,0.7988059847094618,0.6319410760865771,0.628781587755,0.35509044530735895,0.35878009954107015,0.05129994192601691,0.03888965518002338,0.48148148148148145,0.0,0.29741689712315394,0.3358687116475342,0.26242443819784905,0.1272100074188945,0.9110291885248885,0.9989196654274825,0.10904889619207479,0.0082703401400235,84.9324146632671,71.41756715,0.570066646243473,0.6100949294,0.35575290055276015,0.3588519084385812,0.5237908979499598,0.5124138236,0.4375925794498505,0.4255530801,49.89186373237714,50.0,51.08005220633747,50.0,47.728789256496626,50.0,50.37413890842818,50.0,0.07843701549452327,0.0,0.12987217976833793,0.0,0.07003007979960137,0.0,0.09982109076907122,0.0,0.07822087992604515,0.0,0.058464690078718164,0.0,0.06440847893951754,0.0,0.1028200843444506,0.0,0.0728505620513838,0.0,0.09719000642367698,0.0,0.10499011767140887,0.0,0.08088633703579336,0.0,0.9814814814814815,1.0,0.9814814814814815,1.0,0.9262626262626266,0.9,0.9262626262626266,0.9,0.43576286886807536,0.4097972961120746,0.4866326716509092,0.5303420903132117,0.45377443140338125,0.5057143640467903,0.44160505695455593,0.46
HPEM,9730,0.24019946677199566,0.719965804293647,0.8077805678091012,0.6351841314131071,0.6550023857816668,0.23089126413155192,0.19600000000000004,0.4366226058603135,0.4249725516938791,0.3411529925473108,0.3445594934884386,0.10640721866556177,0.08571428571428572,0.13343427206250222,0.10513944219249108,0.19157455508232438,0.16194894615555872,0.009285545953367487,0.0,0.4348325796735724,0.38824431101858264,0.4483333771828898,0.42287304801348785,0.5019539634819689,0.4883186572625,0.42772162777125877,0.4222034036025,0.37510095571864416,0.35852049086400006,0.5651674203264276,0.6117556889814173,0.5722783722287412,0.5777965963975,0.17282253071273893,0.15655187295554723,0.030996170064892876,0.025000000000004588,0.39270298047276464,0.0,0.6165725203172533,0.7140058813593502,1.15907699403284,0.8441052495679613,0.964020972361189,0.9999970497566562,0.045492642921535285,4.05175164760292e-05,135.46357046323746,114.839823,0.39700555898329826,0.35280157445,0.39922782965092957,0.39919237910000005,0.5452420044706445,0.53294139555,0.5086764158756152,0.47010794629999997,37.08069895640033,37.50360639592288,28.555589117249383,26.32951829705354,25.284196047101844,23.353176481179386,29.6585706516161,26.95394239204002,0.1101622937019872,0.0,0.03671526538768722,0.0,0.015855675849976627,0.0,0.026798237516125912,0.0,0.23685936693681192,0.0501563992690593,0.2559767338568675,0.1194893885848027,0.2928412587911519,0.2009497880616824,0.2929876928238024,0.20516393184978782,0.33576369280221435,0.3024546118547215,0.43438800382775544,0.4984084925061774,0.4861828784314932,0.5391692354487732,0.42156315655515303,0.49169271839466844,0.958016443987667,1.0,0.958016443987667,1.0,0.9169784172661871,0.9,0.9169784172661871,0.9,0.6216626025491025,0.6336622204804585,0.6322307259727618,0.6491427511951844,0.6276235976228725,0.6457300541383951,0.5792270200533737,0.62371387104547
RC,8180,0.20193542016391824,0.09737870241271762,0.0,0.16582579563396166,0.23200368575658778,0.05157053789731052,0.021000000000000005,0.10072710046797083,0.08074756039834677,0.4221883600011504,0.4168469082874028,0.08952583893965625,0.06857142857142856,0.028109810728464416,0.0,0.18529066246474393,0.1554319331209962,0.5686549109621913,0.5830287213374171,0.19414038710754686,0.16868483022272446,0.2931518115107319,0.28128166363142204,0.38471611571155745,0.3734815049375,0.37587955228456155,0.37323412938500006,0.7064436537593819,0.7328519333500001,0.8058596128924531,0.8313151697772756,0.6241204477154385,0.6267658706149999,0.14633722422391438,0.12394957648671268,0.050718237643682836,0.03239225114209565,0.1874083129584352,0.0,0.22570785332786905,0.3251987124777034,0.08753821709009463,0.04312354301321655,0.9318010031143237,0.998924557433241,0.08576149932389088,0.00851095194121575,73.07310718326694,66.75228364,0.6972133989179988,0.74681639265,0.3664118332366965,0.37007357295,0.5281848237623132,0.5179735997,0.38620612572718943,0.3712497311,50.742314269538994,50.0,50.11113139980335,50.0,50.916475359690324,50.0,51.10175333380185,50.0,0.05522013102969548,0.0,0.02024482059782932,0.0,0.03310535456537902,0.0,0.05999191853692403,0.0,0.04389047464139378,0.0,0.02330913599741336,0.0,0.020672684243673516,0.0,0.03715492987020291,0.0,0.033085583779229315,0.0,0.01607519487864764,0.0,0.011654360642528071,0.0,0.03521507872598472,0.0,0.9898288508557458,1.0,0.9890953545232274,1.0,0.9624449877750613,1.0,0.9595110024449879,1.0,0.3927578211034952,0.3249999999999999,0.3491085685926186,0.3249999999999999,0.3799138812363354,0.335,0.4173334502664008,0.46
RHA,10192,0.251604621309371,0.5799327189124711,0.5836569430928664,0.42313572193524984,0.4527957886997476,0.1935014717425432,0.14,0.1460036281376709,0.11724129148576579,0.5386450192191411,0.542492295365807,0.32632118743200356,0.3143334990854216,0.2733642020236108,0.28696836606328796,0.15673818865390884,0.1314187300291586,0.030595174060801186,0.0,0.34543000767190335,0.3047615763232363,0.3863919466260314,0.36250245818071725,0.4533736846284896,0.4407228913725,0.4066728852831522,0.40390560115499996,0.4881199736760548,0.48741606854999997,0.6545699923280965,0.6952384236767637,0.5933271147168477,0.596094398845,0.18714147064439612,0.17080684278924962,0.04161696094058602,0.025370541257168172,0.32584379905808475,0.0,0.45613106879085424,0.36619235099623304,0.49413208981147744,0.2636350862209373,0.9181156530979385,0.999362738776,0.08888413389898953,0.0053558560960304,108.97430952324716,94.09235734500001,0.49118220965497583,0.48662884925,0.40497207017010833,0.41023706345,0.5466789913289148,0.5355004094,0.4559312379471939,0.43070717605,61.70993647004911,59.685202414671906,66.06473523660084,65.8616308585338,60.648238487595016,60.01746964758888,50.24662565204008,50.0,0.352773655066835,0.22455370440960498,0.39169847188158524,0.3735390534789018,0.31994144139722425,0.23190466367615126,0.16499502771197486,0.0,0.17522107277247653,0.0,0.15396623741878776,0.0,0.11463685275656349,0.0,0.0887012038442912,0.0,0.08352266509145542,0.0,0.04088492287050132,0.0,0.06831138422288449,0.0,0.13924966071624395,0.0,0.9737048665620094,1.0,0.9737048665620094,1.0,0.9326432496075355,0.9,0.9326432496075355,0.9,0.6038747478368802,0.612469497650463,0.6135983371752293,0.6178593197737026,0.5958230272071828,0.5840661945418114,0.5508369266149089,0.5578444401117035
ST,4694,0.11587834501826799,0.5714481529270385,0.578325695913465,0.38981316208660366,0.44931830796374184,0.27668491691521097,0.256,0.205351922805364,0.16590911502494055,0.4411694538336769,0.44458715991786435,0.15528708196735663,0.13285714285714284,0.15221889652149503,0.12881326650166153,0.11813247946592867,0.10357105769655026,0.07261029099024013,0.0,0.2636130685269439,0.24157230510005478,0.32925585713033045,0.3175230758050333,0.4122791842666286,0.39977760543499996,0.3783773983262912,0.37583247165,0.6192314002214022,0.633980666835,0.7363869314730561,0.7584276948999452,0.6216226016737088,0.62416752835,0.16027077249156124,0.14337180341356004,0.030768107390347944,0.025275238209204867,0.32509586706433746,0.0,0.5036377535770705,0.38071934571218613,0.2529243187569726,0.1680507482500619,0.956363270581469,0.9996869463625739,0.05980346865078018,0.00288107711102445,85.91593801937897,78.676183495,0.6098824340449128,0.6225399398,0.36956250486632214,0.3700742842,0.5294731690383377,0.5172405422,0.40908177810901136,0.39822061239999995,47.90371687864348,50.0,46.47569581408828,47.76657828149642,45.256936213800884,46.40970092148064,43.33296721984103,46.3228899298885,0.12813759974020242,0.0,0.08720243156342612,0.0,0.06477087858559204,0.0,0.034422896507486915,0.0,0.06731847965668494,0.0,0.028123235565545537,0.0,0.037189141081502945,0.0,0.07300642002035236,0.0,0.15172423379365244,0.0,0.15152792209343394,0.05561317007283335,0.165214162451211,0.0872748215646996,0.17338689310093977,0.09075428898567815,0.9882616105666808,1.0,0.9882616105666808,1.0,0.95021303792075,1.0,0.95021303792075,1.0,0.5479043763889068,0.570508121036468,0.5512397240064257,0.5599516692823316,0.5362149822542858,0.5486751888582189,0.5008756348928728,0.5378829911183135
VT,7415,0.18305026167670582,0.192772996465604,0.11376289548663916,0.22895427197521565,0.2516342293097457,0.07966864463924478,0.04900000000000001,0.18143474457162603,0.12271251527029702,0.4214729957200013,0.40598739980214016,0.13300849676455925,0.09630469994512604,0.055761216910096355,0.020347813818018607,0.34971792845785954,0.3267775864110992,0.1751037247451085,0.1131244865117137,0.43885194222060486,0.40289103854787456,0.4557230534937076,0.43828019885359915,0.49443479056476763,0.48241095235000003,0.4404415707695116,0.437393185465,0.3781297180348041,0.364297291035,0.5611480577793951,0.5971089614521254,0.5595584292304885,0.562606814535,0.20791986248943112,0.19433427169149894,0.06873747366114892,0.055026866123939366,0.45745111260957516,0.0,0.24978791549184828,0.330048355357328,0.29252150614366856,0.1293382907244483,0.8927891478368607,0.9985381608459905,0.1016074825438713,0.0105172223655806,137.24253177269875,122.9935634,0.36174077220333667,0.3093308636,0.4375182048563446,0.4516073968,0.5636836880721334,0.5572925673,0.5085363223772025,0.4732895788,48.77656048986227,50.0,48.38305512998985,50.0,50.833873802393185,50.0,52.01738982178292,50.0,0.12012037071196743,0.0,0.09082905058186161,0.0,0.09753251349264072,0.0,0.11315421206268457,0.0,0.27329711903952764,0.1502697370124549,0.2631213921953149,0.1664671763901725,0.21948480054170433,0.1076630530437915,0.16648985414124076,0.0085362625554249,0.12566993205799698,0.0,0.10962995951338142,0.0,0.06719805371171347,0.0,0.05847432588924504,0.0,0.9577747808496292,1.0,0.9577747808496292,1.0,0.9199190829399866,0.9,0.9199190829399866,0.9,0.4613228051761853,0.4242082740227451,0.4155498487624636,0.35,0.3706521446966143,0.31,0.3798971485575364,0.3249999999999999
